PURLEY-RUSSELL-HILL,,,,,,,,,,,
Grid ref,TQ310620,Long,-0.11938,Lat,51.34243,Elevation,350,ft,,,
Station no,96,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,2.65,3.78,1.31,3.72
February,,,,,,,,5.24,1.86,0.7,0.78
March,,,,,,,,3.03,3.14,0.09,1.82
April,,,,,,,,2.06,2.06,1.25,1.92
May,,,,,,,,1.17,2.23,2.07,3.4
June,,,,,,,,2.9,2.85,1.19,0.84
July,,,,,,,,3.74,2.25,2.31,2.4
August,,,,,,,,4.65,2.87,2.13,3.18
September,,,,,,,,5.91,0.87,0.2,3.92
October,,,,,,,,1.59,5.72,4.14,1.42
November,,,,,,,,2.86,3,7.06,4.88
December,,,,,,,,4.08,3.3,7.74,2.31
Total,,,,,,,,39.88,33.93,30.19,30.59
,,,,,,,,,,,
3 russell hill,,,,,,,,,,,
1930 Gauge read in winter 9-9.30am,,,,,,,,,,,
1930 Gauge read in summer 10-10.30am,,,,,,,,,,,
1931 Observer moved to Exmouth,,,,,,,,,,,
