PURLEY-RUSSELL-HILL-(FOXLEY-LANE),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ310618,Long,-0.11954,Lat,51.34035,Elevation,314,ft,,,,,,,,,,,,
Station no,96,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.6,0.97,2.11,,,,,,,,,
February,,,,,,,,,1.01,0.71,3.55,,,,,,,,,
March,,,,,,,,,2.62,3.24,1.29,,,,,,,,,
April,,,,,,,,,2.34,1.82,1.57,,,,,,,,,
May,,,,,,,,,2.19,1.13,1.79,,,,,,,,,
June,,,,,,,,,1.66,2.8,2.44,,,,,,,,,
July,,,,,,,,,3.03,3.06,2.22,,,,,,,,,
August,,,,,,,,,3.48,1.92,3.37,,,,,,,,,
September,,,,,,,,,1.25,3.04,1.06,,,,,,,,,
October,,,,,,,,,2.3,4.21,2.82,,,,,,,,,
November,,,,,,,,,0.68,0.91,3.19,,,,,,,,,
December,,,,,,,,,2.38,2.98,4.01,,,,,,,,,
Total,,,,,,,,,24.54,26.79,29.42,,,,,,,,,
