RHIWLAS-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ198320,Long,-3.1931623,Lat,52.879462,Elevation,830,ft.,,,,,,,,,,,,,
Station no,RR7995,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,1.79,4,3.45,,3.53,4.4,-999,,,,,,,,,,
February,,,,,4.65,5.46,4.04,,3.95,,3.17,,,,,,,,,,
March,,,,,4.04,0.87,,,1.04,,-999,,,,,,,,,,
April,,,,,1.41,1.35,1.65,,2.51,,-999,,,,,,,,,,
May,,,,,2.29,3.76,,,2.29,,-999,,,,,,,,,,
June,,,,,3.17,0.79,2.24,4.5,0.92,,-999,,1.45,,,,,,,,
July,,,,,4,4.82,,1.54,4.49,,-999,,,,,,,,,,
August,,,,,3.55,,,7.45,1.83,,-999,,,,,,,,,,
September,,,,,1.71,,,,7.5,,-999,,,,,,,,,,
October,,,,,2.12,3.17,,,2.52,,-999,,,,,,,,,,
November,,,,,5.13,3.45,,2.95,2.13,,-999,,,,,,,,,,
December,,,,,9.21,,,,5.6,,-999,,,,,,,,,,
Total,,,40.7,43.62,43.07,,,,38.31,,49.49,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is Rhiwlas but not sure where the school is. OS Altitude used,,,,,,,,,,,,,,,,,,,,,
Record intermittent with only 2 full years and a note saying 1912 to 1917 totals copied from PC?,,,,,,,,,,,,,,,,,,,,,
1915 to 1917 totals removed,,,,,,,,,,,,,,,,,,,,,
