SHALFORD-THE-HUTCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ006465,Long,-0.5612,Lat,51.20936,Elevation,170,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,197/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.33,1.81,1.88,0.86,5.09,5.82,2.45,4.98,2.83,2.85,2.89,6.59,1.96,2.2,2.6,2.33,4.86,1.08,0.86,4.27,2.09,1.38,1.48,3.3,4.32,1.9,,,
February,,0.34,3.49,0.15,4.22,1.85,3.87,0.47,1.33,2.19,2.63,0.75,1.97,0.71,2.13,2.82,1.47,1.7,1.4,5.46,7.31,0.76,1.64,2.6,1.68,0.49,3.91,,,
March,,1.59,3.05,2.34,0.35,1.3,3.83,0.24,1.31,3.07,3.39,1.87,0.47,0.18,0.99,1.1,5.15,0.79,1.07,1.43,4.25,2.95,0.57,2.95,1.41,0.86,1.37,,,
April,,2.41,0.73,1.8,3,1.5,2.38,0.18,2.79,1.82,1.65,1.84,1.06,1.05,1.18,2.79,2.11,1.64,1.79,3.12,3.02,1.66,2.43,0.35,0.19,1.25,0.34,,,
May,,3.76,1.91,0.53,1.58,0.64,2.78,1.13,2.65,1.01,2.36,3.47,2.8,0.46,1.67,3.05,1.55,2.57,2.11,1.36,2.61,2.47,2.08,2.3,3.93,0.36,1.72,,,
June,,1.42,1.75,1.6,3.41,3.58,1.43,0.47,1.17,0.92,1.96,0.21,1.51,1.47,2.48,2.37,2.44,2.96,0.45,1.2,1.23,1.6,1.39,3.34,2.47,2.42,1.21,,,
July,,2.31,1.66,2.26,0.88,3.57,0.74,2.34,2.93,2.44,2.62,2.12,1.95,1.32,5.75,1.57,1.15,1.15,0.68,4.08,1.86,1.04,3.93,2.95,0.51,4.33,3.69,,,
August,,0.47,0.95,2.32,3.24,0.58,1.18,1.29,2.17,0.19,4.37,3.47,1.2,1.69,1.56,4.93,0.64,3.97,1.09,3.13,3.9,2.32,1.86,2.53,1.35,3.82,2.61,,,
September,,2.04,2.49,1.68,3.82,2.21,1.69,1.73,0.5,1.37,0.27,1.63,1.75,2.53,2.6,4.25,1.14,1.7,0.83,3.29,2.98,3.18,2.67,2.42,1.39,3.15,2.68,,,
October,,4.66,1.98,1.59,3.66,1.84,3.09,2.43,4.76,3.15,1.09,3.94,2.94,4.52,3.55,1.13,0.51,1.75,7.2,0.38,0.92,3.22,3.43,2.05,4.34,1.49,1.4,,,
November,,0.91,1.08,3.34,5.64,3.3,1.89,3.92,4.08,6.83,3.44,1.93,1.52,4.29,0.36,5.08,1.11,1.56,3.21,5.89,8.29,3.07,1.69,5.82,2.49,0.88,2.66,,,
December,,0.44,0.32,6.68,3.19,2.65,4.4,3.96,1.09,1.39,1.94,3.87,1.82,2.7,4.51,3.37,3.4,4.27,1.65,2.04,3.21,2.55,0.86,2.95,2.88,4.46,2.14,,,
Total,,22.68,21.22,26.17,33.85,28.11,33.1,20.61,29.76,27.21,28.57,27.99,25.58,22.88,28.98,35.06,23,28.92,22.56,32.24,43.85,26.91,23.93,31.74,25.94,27.83,25.63,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 Continuation record for Shalford Clonkeen 1927-1928 only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Dec Part estimated due to snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Aug Observer set up a second gauge 3.5 years ago in more sheltered site as a check on gauge from which readings are supplied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record 1932-39 probably 1-2in too small due to over exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Observer informed catch low due wind eddies 1-2in deficiency each year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2nd gauge showed 33% increase with SW winds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Not printed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Not printed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 Terminated No longer wishes to cooperate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A 1971 note on sheet says NGR TQ000474 changed to TQ002464 as exact location doubtful but must be 464 on these directions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In fact The Hutch was at NGR TQ0060046550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
