SOUTHAMPTON-GAS-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU428118,Long,-1.39148,Lat,50.90415,Elevation,20,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,2.92,2.45,0.55,4.53,5.28,4.69,1.7,0.38,2.5,1.76,0.58,1.27,3.23,,,,,,,,,
February,,,,,,,,,4.7,1.68,1.94,0.97,0.82,0.53,0.73,1.16,1.05,0.2,1.09,1.84,0.38,1.52,,,,,,,,
March,,,,,,,,,2.66,0.71,0.34,3.61,0.58,1.36,0.27,1.97,0.92,1.9,0.73,1.1,2.09,1.83,,,,,,,,
April,,,,,,,,,2.67,2.64,4.3,1.4,0.75,2.63,0.14,0.27,3.59,1.96,2.02,2.37,0.79,0.27,,,,,,,,
May,,,,,,,,,0.62,2.04,1.92,1,2.07,2.27,3.14,2.35,2.85,0.72,1.65,0.67,2.64,1.39,,,,,,,,
June,,,,,,,,,5.09,0.98,2.73,1.81,5.25,3.15,1.51,0.86,1.25,0.94,0.46,1.24,5.54,3.29,,,,,,,,
July,,,,,,,,,2.85,2.12,3.64,2.62,2.81,3.13,1.9,3.03,0.63,1.41,2.06,2.07,2.43,3.19,,,,,,,,
August,,,,,,,,,4.18,1.41,1.8,1.12,4.55,2.98,0.99,1.37,2.18,1.7,1.4,1.73,3.56,0.6,,,,,,,,
September,,,,,,,,,2.56,3.82,2.2,0.01,4.82,1.92,0.62,2.55,3.03,2.55,1.91,3.81,2.75,2.9,,,,,,,,
October,,,,,,,,,4.49,4.98,1.68,3.72,4.7,5.27,2.66,5.08,2.03,4.97,1.58,3.5,1.23,0.73,,,,,,,,
November,,,,,,,,,1.77,1.34,2.82,0.63,7.77,1.3,1.94,0.9,0.99,1.7,1.11,0.81,2.47,4.61,,,,,,,,
December,,,,,,,,,5.33,3.41,1.93,1.45,4.08,0.45,1.08,1.48,3.45,0.47,2.59,2.52,2.45,1.16,,,,,,,,
Total,,,,,,,,,39.84,27.58,25.85,22.87,43.48,29.68,16.68,21.4,24.47,20.28,17.18,22.93,29.56,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848-1858 Identical with Eling House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861 Jan Value of 0 has question mark so removed as unlikely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
