STRUAN (TOMNACUAG),,,,,,,,,,,,,,,,,,,,
Grid ref,NN820652,Long,-3.931927,Lat,56.763408,Elevation,500,ft,,,,,,,,,,,,
Station no,5563/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,3.38,,6,6.62,3.98,3.37,2.43,1.55,,5.69,2.39,2.5,5.6,,,
February,,,,,5.03,,0.75,3.95,3.22,5.16,1.83,1.14,,2.06,2.59,2.46,4.21,,,
March,,,,,2.27,,1.74,3.74,1.54,1.61,1.46,2.55,,3.66,1.41,2.57,3.12,,,
April,,,,,1.31,,5.64,2.09,2.25,2.37,1.63,1.51,,0.85,1.16,0.45,0.64,,,
May,,,,,5.25,,2.62,2.91,3.09,1.23,1.2,3.9,,6.38,2.41,2.5,1.75,,,
June,,,,,2.48,,2.74,3.39,1.63,1.35,0.63,2.35,,1.99,1.02,1.94,0.84,,,
July,,,,,2.76,,2.3,2.17,0.99,4.54,2.32,0.66,,2.67,0.55,4.43,4.36,,,
August,,,,,1.81,,0.04,6.21,2.63,5.2,1.77,1.73,,3.45,1.2,5.27,3.87,,,
September,,,,2.73,,4.92,6.28,3.76,1.36,5.18,1.39,1.41,,2.79,2.49,5.64,2.35,,,
October,,,,3.95,,0.3,0.92,4.43,4.34,1.89,1.27,3.49,,7.8,2.68,3.01,2.35,,,
November,,,,4.85,,3.94,3.37,1.83,3.3,2.69,8.55,2.05,,9.21,1.95,1.33,0.98,,,
December,,,,4.76,,4.54,1.59,6.85,6.86,1.1,5.43,0.61,,6.83,5.97,5.85,2.26,,,
Total,,,,,,,33.99,47.95,35.19,35.69,29.91,22.95,,53.38,25.82,37.95,32.33,,,
,,,,,,,,,,,,,,,,,,,,
POOR-LOCATIONS,,,,,,,,,,,,,,,,,,,,
BR 1947 NP Low,,,,,,,,,,,,,,,,,,,,
BR 1948 P,,,,,,,,,,,,,,,,,,,,
BR 1949 NP Low,,,,,,,,,,,,,,,,,,,,
BR 1950 NP Low,,,,,,,,,,,,,,,,,,,,
BR 1951 NP Low,,,,,,,,,,,,,,,,,,,,
BR 1952 NP Low Unreliable,,,,,,,,,,,,,,,,,,,,
BR 1953 NP Values useless,,,,,,,,,,,,,,,,,,,,
BR 1954 P,,,,,,,,,,,,,,,,,,,,
BR 1955 NP,,,,,,,,,,,,,,,,,,,,
BR 1956 P,,,,,,,,,,,,,,,,,,,,
