"UPPER FARG, HEATHERIELEYS QUARRY",,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 10014 12459,Long,-3.455569,Lat,56.295995,Elevation,715,ft,,,,,,,,,,,,,
Station no,RR7698,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,1,3.46,4.24,6.17,5.37,4.02,,,,,,,,
February,,,,,,,,2.41,3.25,1.9,3.21,0.8,2.67,,,,,,,,
March,,,,,,,,1.81,1.68,2.82,1.79,3.5,2.94,,,,,,,,
April,,,,,,,,1.84,1.52,3.99,3.85,1.26,2.05,,,,,,,,
May,,,,,,,,2.32,3.58,1.51,3.34,1.43,1.52,,,,,,,,
June,,,,,,,,2.89,0.96,2.11,0.77,1.18,2.04,,,,,,,,
July,,,,,,,,1.29,5.67,0.9,3.82,2.35,4.07,,,,,,,,
August,,,,,,,,5.82,3.77,2.49,4.89,5.58,1.66,,,,,,,,
September,,,,,,,,1.22,5.82,1.2,1.59,2.6,2.21,,,,,,,,
October,,,,,,,,4.27,4.14,1.4,2.2,3.56,1.59,,,,,,,,
November,,,,,,,,3.72,3.1,4.92,2.7,2.34,2.61,,,,,,,,
December,,,,,,,,1.61,2.02,5.09,5.04,2.34,2.8,,,,,,,,
Total,39.14,28.65,39.28,,38.94,38.05,51.44,30.2,38.97,32.57,39.37,32.31,30.18,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"average computed X/37 from records 1910-12, 1914-22 rejected from survey as 5"" too Low",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,RR7698,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,
