"UPPER FARG, HEATHERIELEYS",,,,,,,,,,
Grid ref,NO 10014 12459,Long,-3.455569,Lat,56.295995,Elevation,790,ft,,
Station no,RR7698,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,5.49,1.07,4.45,,,,,,,
February,3.27,3.22,3.34,,,,,,,
March,2.02,1.02,3.74,,,,,,,
April,4.55,1.71,0.13,,,,,,,
May,1.05,1.25,1.42,,,,,,,
June,2.07,2.18,3.98,,,,,,,
July,3.24,1.9,2.33,,,,,,,
August,8.59,1.79,4.61,,,,,,,
September,0.98,1.49,3.19,,,,,,,
October,2.41,3.27,3.63,,,,,,,
November,2.98,5.96,2.07,,,,,,,
December,3.28,3.93,6.81,,,,,,,
Total,39.93,28.79,39.7,,,,,,,
,,,,,,,,,,
"Rejected from survey x/37 as 8"" too low",,,,,,,,,,
,,,,,,,,,,
Station no,RR7698,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
