WEST-CLANDON-QUARRY,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ040509,Long,-0.511316,Lat,51.2478,Elevation,266,ft,,,,,,,,,,,,
Station no,209/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,0.42,4.71,2.27,1.25,1.25,3.67,3.28,1.55,2.22,2.77,2.79
February,,,,,,,,,1.09,4.05,6.29,0.49,1.22,3.1,1.54,0.17,3.28,2.58,0.05,2.22
March,,,,,,,,,1.18,0.66,3.59,2.48,0.39,2.56,1.26,1.02,0.96,2,2.31,1.59
April,,,,,,,2.85,,1.51,2.81,2.62,1.97,2.21,0.66,0.35,1.49,0.32,1.03,2.38,0.69
May,,,,,,,,,2.07,1.25,2.77,2.04,2.51,2.11,4.1,0.31,1.5,2.77,0.71,1.91
June,,,,,,,3.3,,0.92,1.19,1.07,1.41,1.55,4.47,2.7,2.55,0.79,3.89,0.75,2.28
July,,,,,,,1.46,,1.41,3.43,1.79,1.3,2.99,3.02,1.06,5.23,3.67,1.31,3.03,2.72
August,,,,,,,0.6,,1.48,2.56,4.01,3.54,2.13,2.68,1.6,4.69,1.89,4.2,2.05,3.47
September,,,,,,,1.4,,0.51,2.82,2.58,3.48,2.56,2.64,1.58,2.65,2.4,3.43,0.21,2.97
October,,,,,,,0.31,,7.37,0.64,0.83,3.98,2.47,1.72,3.69,1.54,1.28,2.53,2.44,7
November,,,,,,,1.5,,2.79,4.64,8.13,3.33,2.13,5.91,2.55,0.84,2.91,2.35,3.76,4.48
December,,,,,,,2.43,,1.22,0.87,2.59,2.25,0.7,2.93,2.29,3.65,2.01,3.09,5.12,3.47
Total,,,,,,,,,,25.34,40.98,28.54,22.11,33.05,26.39,27.42,22.56,31.4,25.58,35.59
,,,,,,,,,,,,,,,,,,,,
Location unknown so NGR taken from sheet,,,,,,,,,,,,,,,,,,,,
1947 Jan-Mar May No data,,,,,,,,,,,,,,,,,,,,
1949 Jan Estimated,,,,,,,,,,,,,,,,,,,,
1950 Not printed Low,,,,,,,,,,,,,,,,,,,,
1957 Not printed Poor site,,,,,,,,,,,,,,,,,,,,
1958 Not printed Poor site,,,,,,,,,,,,,,,,,,,,
1959 Not printed Low,,,,,,,,,,,,,,,,,,,,
1960 Not printed Poor site and low,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SRC_ID 6449,,,,,,,,,,,,,,,,,,,,
1947-1965,,,,,,,,,,,,,,,,,,,,
