WIMBORNE-WESTFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU007001,Long,-1.99143,Lat,50.80046,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,5.8,0.96,,,,,,1.38,5.13,5.87,-999,,1.49,1.11,4.19,5.16,3.81,,2.32,1.3,,4.62,3.66,2.45,,,
February,,,,,4.59,0.55,,,,,,1.8,3.08,1.65,5.33,,5.13,0.75,1.03,3.35,0.24,,3.03,3.92,,5.87,2.05,2.5,,,
March,,,,,1.07,5.76,,,,,,2.5,5.22,3.1,5.54,,3.32,2.7,0.19,3.81,1.99,,1.51,0.45,,0.6,0.1,2.33,,,
April,,,,,1.91,2.05,,,,,,1.83,0.13,3.6,1.16,,0.65,1.37,1.49,1.13,3.68,,1.94,1.29,,2.54,3.45,0.84,,,
May,,,,,2.73,0.72,,,,,,0.77,1.6,2.62,1.13,,1.75,2.77,1.67,0.25,0.75,,0.45,0.05,,4.96,1.08,0.79,,,
June,,,,,1.03,2.11,,,,,,1.63,4.19,0.64,0.99,,1.92,1.75,0.86,0.8,1.67,,0.12,0.49,,0,1.7,1.95,,,
July,,,,,3.76,1.6,,,,,,0.15,2.65,1.41,3.94,,0.95,1.99,4.89,1.12,3.89,,4.25,0.58,,1.66,0.6,1.55,,,
August,,,,,3.85,3.31,,,,,,0.97,7.84,1.49,2.7,,4.24,5.69,2.29,2.09,0.49,,4.12,1.79,,1.74,1.05,3.11,,,
September,,,,,3.07,2.41,,,,,,1.13,2.23,3.93,1.83,,2.02,1.28,5.32,1.53,1.25,,1.06,0.88,,2.77,0.11,3.2,,,
October,,,,7.76,2.9,1.99,,,,,,4.61,3.33,4.78,3.04,,5.78,4.73,1.27,1.15,2.14,,1.73,1.86,,4.18,3,2.6,,,
November,,,,3.93,1.62,5.31,,,,,,4.34,2.09,3.62,6.57,,4.47,0.54,2.76,2.16,1.47,,1.12,0.75,,2,6.52,2.5,,,
December,,,,3.99,4.31,1.61,,,,,,8.97,4.97,2.16,8.96,,4,0.09,2.45,5.06,1.44,,1.77,1.05,,3.53,0.04,2.52,,,
Total,,,,,36.64,28.38,,,,,,30.08,42.46,34.87,41.36,,35.72,24.77,28.41,27.61,22.82,,23.42,14.41,,34.47,23.36,26.34,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903 Sept Gauge moved from Yeovil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905 Gauge terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914 Total incorrect with values as transcribed Jan made -999 as 0.7 as written seems unlikely and 0.17 to make total correct even more unlikely Total matches BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921 Not printed Bad Omissions every month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 Not printed 60% too low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925 Not printed Too low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926 Not printed Too low Gauge sheltered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927 Not printed Too low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual values 1916-1919 and 1920-1925 rejected from 1928 survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
