WINSCOMBE-SIDCOT-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST428574,Long,-2.82206,Lat,51.3128,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2029/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.2,,,,,,,,,,,,,,,,,,,,,,,,0.56,3.98,5.23,4.59,,,,3.4,5.56,,2.73,,,6.99,1.17,0.5,4.09,3.24,0.79,2.45,,,3.42,1.85,3.49,3.64
February,,2.24,,,,,,,,,,,,,,,,,,,,,,,,2.89,2.38,5.23,1.16,1.95,,,0.75,1.97,,3.07,,,1.8,1.75,6.16,4.35,0.46,2.02,3.48,,,3.35,3.6,0.26,2.28
March,,2.45,,,,,,,,,,,,,,,,,,,,,,,,1.12,3.15,4.09,0.26,1.47,,,2.18,1.02,,1.03,,,1.5,1.48,1.01,4.12,3.05,0.55,,,,2.82,,3.71,2.42
April,,,,,,,,,,,,,,,,,,,,,,,,,,5.81,2.77,3.36,0.1,3.68,,,,1.36,,0.9,,2.3,1.71,1.97,2.32,4.01,2.29,3.26,,,,0.08,1.07,,3.79
May,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,1.42,2.72,1.76,1.23,,1.71,,2.15,,4.13,,3.23,2.73,5.37,2.15,3.51,4.58,1.76,2.23,,,1.33,,2.08,1.25
June,,2.62,,,,,,,,,,,,,,,,,,,,,,,,3.12,3.01,0.98,0.99,2.08,,1.43,,1.43,,4.34,,2.47,2.44,0.69,1.71,0.81,3.24,2.12,3.59,,,2.2,3.45,1.55,3.75
July,,0.32,,,,,,,,,,,,,,,,,,,,,,,,0.33,6.17,3.77,3.65,4.82,,1.9,,2.46,,2.39,,2.65,1.44,0.93,4.99,1.84,0.62,5.61,4.02,,,4.77,2.51,2.56,
August,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,0.95,1.18,6.13,5.2,,5.92,,4.88,,2.7,,0.81,4.8,2.57,7.18,3.72,4.89,3.78,2.93,,,5.04,2.73,2.45,
September,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,2.96,2.5,2.98,1.25,,0.85,,3.65,,3.47,,1.43,2.88,2.94,5.9,1.69,3.04,3.6,6.18,,,3.89,4.88,0.26,
October,,2.62,,,,,,,,,,,,,,,,,,,,,,,,5.89,2.49,3.06,6.67,,,1.58,,2.53,,3.99,,0.8,5.29,5.46,2.97,2.65,2.38,2.98,4.04,,,3.86,3.28,3.53,9.05
November,,3.69,,,,,,,,,,,,,,,,,,,,,,,,7.14,4.12,2.74,5.21,,,1.97,,2.65,,0.98,,3,2.42,3.92,6.91,7.67,4.41,2.92,6.41,,,2.82,2.79,5.01,4.87
December,,7.46,,,,,,,,,,,,,,,,,,,,,,,,4.59,2.31,2.52,4.54,,,2.13,,2.57,,5.83,,3.17,4.88,2.82,2.7,3.5,2.33,1.16,2.95,,,1.81,3.96,6.42,4.09
Total,,,,,,,,,,,,,,,,,,,,,,,,,,41.01,35.71,37.38,38.04,,,,,32.23,,35.56,,,38.88,31.07,44.5,41.96,34.53,30.55,,,,35.39,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912 Sept Inspection Gauge and exposure excellent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Jan Oct-Dec Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Observer states remaining months not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Jan Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Jan-Mar Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 Monthly values unreliable Annual total OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Mar Apr Part estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 Re-started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 Mar May Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 Not printed Low April readings missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Sidcot SRC_ID 9374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935-1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
