YEOVIL-SUMMERLEAZE-PARK-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,ST546163,Long,-2.647587,Lat,50.94434,Elevation,150,ft,,,,,,,,,,,,
Station no,2060/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.72,0.62,0.44,2.67,1.93,0.81,1.89,2.65,3.45,2.27,2.56,4.08,2.91
February,,,,,,,,0.72,0.79,5.2,4.85,0.61,1.29,2.59,2.03,0,4.68,3.14,0.27,3.12
March,,,,,,,,0.91,1.37,0.95,2.59,2.56,0.62,3.56,1.2,0.55,1.86,1.2,2.74,1.78
April,,,,,,,,1.63,1.4,2.1,3.01,2.08,3.5,0.33,1.36,1.03,0.26,0.51,2.75,2.27
May,,,,,,,,4.59,1.92,2,2.79,2.96,,1.89,3.36,0.55,1.31,2.13,1.6,1.32
June,,,,,,,,1.3,0.12,1.25,1.09,2.06,,2.67,2.33,1.61,1.62,3.99,0.69,1.13
July,,,,,,,,1.16,2.8,4.24,2.27,0.86,,2.49,2.65,1.93,2.84,2.09,1.86,3.28
August,,,,,,,,4.04,1.45,4.24,4.63,3.43,,2.14,1.72,4.21,2.21,2.02,2.05,5.08
September,,,,,,,,1.72,2.89,3.36,2.68,3.63,,2.34,1.34,4.6,3.12,4.32,0.07,3.36
October,,,,,,,,3.7,7.41,1.69,1.17,3.85,,2.05,1.6,1.38,2.26,2.15,3.19,8.9
November,,,,,,,,0.93,3.67,5.25,8.34,3.98,1.4,5.99,3.22,0.63,2.44,2.81,4.04,5.96
December,,,,,,,,5.72,1.15,2.33,2.64,2.45,0.82,3.01,4.5,3.62,2.65,3.33,6.28,4.27
Total,,,,,,,,31.14,25.59,33.05,38.73,30.4,,30.95,27.96,23.56,27.52,30.25,29.62,43.38
,,,,,,,,,,,,,,,,,,,,
1953 May-Oct Estimated,,,,,,,,,,,,,,,,,,,,
1954 Not printed Low,,,,,,,,,,,,,,,,,,,,
1955 New gauge installed ,,,,,,,,,,,,,,,,,,,,
1956 Not printed Low,,,,,,,,,,,,,,,,,,,,
1957 Not printed Low,,,,,,,,,,,,,,,,,,,,
1958 Not printed Low,,,,,,,,,,,,,,,,,,,,
1959 Not printed Low,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Yeovil Parcroft School SRC_ID 9154,,,,,,,,,,,,,,,,,,,,
Summerleaze School renamed Parcroft School,,,,,,,,,,,,,,,,,,,,
1948-1975,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
An av 27.75 based on 1948-1957 3in low Rejected,,,,,,,,,,,,,,,,,,,,
